Subject Code,Subject Title,Subject Group Code,Component Code,For Every (Week),Start Week,End Week,Day of Week,Start Time,End Time,Venue,Teaching Staff,Remark
ABCT3403,ELEMENTS OF FOOD ENGINEERING,"1009, 1115",LEC001,1,1,13,Tue,14:30,16:20,PQ306,"LO, benedict TW, WU Jianyong",
ABCT3403,ELEMENTS OF FOOD ENGINEERING,"1009, 1115",TUT001,1,1,13,Fri,10:30,11:20,W208,"GENG, Ping, LO, benedict TW, WU Jianyong",
ABCT3408,SENSORY EVALUATION OF FOOD,"1009, 1115",LAB001,1,3,4,Wed,13:30,16:20,"U512, U513",Kahing Wong,
ABCT3408,SENSORY EVALUATION OF FOOD,"1009, 1115",LTL001,1,1,13,Fri,14:30,16:20,W208,Kahing Wong,
ABCT3409,FOOD TOXICOLOGY,"1009, 1115",LAB001,1,5,5,Wed,13:30,16:20,"Y1118, Y1120","KWOK, KWH, Kahing Wong",
ABCT3409,FOOD TOXICOLOGY,"1009, 1115",LTL001,1,1,13,Thu,8:30,10:20,W208,"KWOK, KWH, Kahing Wong",
ABCT3411,PRINCIPLES OF NUTRITION,"1009, 1115",LEC001,1,1,13,Fri,12:30,14:20,W208,"LI, christine SY, WONG Man Sau",
ABCT3411,PRINCIPLES OF NUTRITION,"1009, 1115",TUT001,1,1,13,Mon,10:30,11:20,W208,"Iris L K Wong, LI, christine SY, WONG Man Sau",
ABCT3621,CHEMICAL PRINCIPLES FOR TESTING AND ANALYSIS,1006,LEC001,1,1,13,Wed,14:30,16:20,R503,"HUANG, Bolong",
ABCT3621,CHEMICAL PRINCIPLES FOR TESTING AND ANALYSIS,1006,TUT001,1,1,5,Thu,11:30,12:20,P307,"HUANG, Bolong",
ABCT3621,CHEMICAL PRINCIPLES FOR TESTING AND ANALYSIS,1006,TUT001,1,6,13,Thu,11:30,12:20,Y715,"HUANG, Bolong",
ABCT3622,EXPERIMENTAL TECHNIQUES IN CHEMISTRY,1006,LAB001,1,1,13,Tue,8:30,12:20,Y1315,"ALSTON LEE, LAM Kim Hung",
ABCT3622,EXPERIMENTAL TECHNIQUES IN CHEMISTRY,1006,LEC001,1,1,13,Fri,11:30,12:20,Y715,LAM Kim Hung,
ABCT3624,CHROMATOGRAPHIC ANALYSIS,1006,LEC001,1,1,13,Mon,15:30,17:20,R402,"HO, Cheuk Lam, KF Yung",
ABCT3624,CHROMATOGRAPHIC ANALYSIS,1006,TUT001,1,1,13,Mon,11:30,12:20,R408,"HO, Cheuk Lam, KF Yung",
ABCT3625,CHROMATOGRAPHIC ANALYSIS LABORATORY,1006,LAB001,1,1,13,Wed,13:30,16:20,"Y1023, Y1308",LAM Kim Hung,
ABCT3631,METROLOGY AND CALIBRATION,1006,LAB001,1,1,13,Tue,8:30,12:20,Y1315,"ALSTON LEE, CHOI, Koon-kay, KF Yung",
ABCT3631,METROLOGY AND CALIBRATION,1006,LEC001,1,1,13,Tue,15:30,17:20,R402,"CHOI, Koon-kay, KF Yung",
ABCT3631,METROLOGY AND CALIBRATION,1006,TUT001,1,1,13,Mon,17:30,18:20,P303,"CHOI, Koon-kay, KF Yung",
ABCT3707,ORGANIC CHEMISTRY II LABORATORY,1001,LAB001,1,1,13,Thu,13:30,16:20,"Y1023, Y1308, Y1315","ALSTON LEE, MA, Cong",
ABCT3707,ORGANIC CHEMISTRY II LABORATORY,1001,LAB002,1,1,13,Thu,8:30,11:20,"Y1023, Y1308, Y1315","ALSTON LEE, MA, Cong",
ABCT3708,INTERMEDIATE PHYSICAL CHEMISTRY,1001,LEC001,1,1,13,Tue,11:30,13:20,P309,"daniel mok, wm kwok",
ABCT3708,INTERMEDIATE PHYSICAL CHEMISTRY,1001,TUT001,1,1,13,Wed,13:30,14:20,P309,"daniel mok, wm kwok",
ABCT3742,ORGANIC CHEMISTRY II,1001,LTL001,1,1,13,Wed,8:30,11:20,P309,"MA, Cong",
ABCT3747,INTRODUCTION TO CHEMICAL & BIOPROCESS TECHNOLOGY,1001,LEC001,1,1,13,Tue,14:30,16:20,PQ306,"LO, benedict TW, WU Jianyong",
ABCT3747,INTRODUCTION TO CHEMICAL & BIOPROCESS TECHNOLOGY,1001,TUT001,1,1,13,Wed,11:30,12:20,P309,"GENG, Ping, LO, benedict TW, WU Jianyong",
ABCT4101,ADVANCED MOLECULAR BIOLOGY,1002,LTL001,1,1,13,Wed,15:30,18:20,"Y512, Y719","CHOW Ming Cheung, vincent KENG",
